longitude,latitude,elevation,name,station_id,timeZone
-80.41806,27.65556,7.0104,"Vero Beach, Vero Beach Municipal Airport",KVRB,America/New_York
-73.88417,41.62667,49.9872,"Poughkeepsie, Dutchess County Airport",KPOU,America/New_York
-93.19389,31.05,100.8888,"Fort Polk, Polk AAF Ft Polk",KPOE,America/Chicago
-94.90917,39.76806,250.8504,"St. Joseph, Rosecrans Memorial Airport",KSTJ,America/Chicago
-81.20222,32.11889,14.9352,"Savannah, Savannah International Airport",KSAV,America/New_York
-95.06681,46.89968,438.912,Park Rapids Municipal Airport,KPKD,America/Chicago
-82.39889,36.47972,462.9912,"Bristol / Johnson / Kingsport, Tri-City Regional Airport",KTRI,America/New_York
-116.02868,36.6207,986.9424,"Mercury, Desert Rock Airport",KDRA,America/Los_Angeles
-102.20861,31.94778,875.0808,"Midland, Midland International Airport",KMAF,America/Chicago
-100.49389,31.35139,583.9968,"San Angelo, Mathis Field",KSJT,America/Chicago
-117.1425,32.86833,145.9992,"San Diego, Miramar MCAS/Mitscher Field Airport",KNKX,America/Los_Angeles
-162.72778,55.22083,29.8704,"Cold Bay, Cold Bay Airport",PACD,America/Nome
-98.98306,34.34444,381.9144,"Frederick, Frederick Municipal Airport",KFDR,America/Chicago
-147.87611,64.80389,131.9784,"Fairbanks, Fairbanks International Airport",PAFA,America/Anchorage
-155.05583,19.72222,10.9728,"Hilo, Hilo International Airport",PHTO,Pacific/Honolulu
-156.76582,71.28528,13.1064,"Barrow, Wiley Post-Will Rogers Memorial Airport",PABR,America/Anchorage
-88.10164,41.60307,203.9112,Lewis University Airport,KLOT,America/Chicago
-155.61667,62.96667,103.0224,"McGrath, McGrath Airport",PAMC,America/Anchorage
-149.99611,61.17444,43.8912,"Anchorage, Ted Stevens Anchorage International Airport",PANC,America/Anchorage
-83.31444,37.59139,420.9288,"Jackson, Carroll Airport",KJKL,America/New_York
-97.81667,31.06667,309.0672,"Fort Hood, Robert Gray AAF Ft Hood",KGRK,America/Chicago
-131.57664,55.03835,31.0896,Annette Island Airport,PANT,America/Metlakatla
-156.64917,58.67667,17.0688,"King Salmon, King Salmon Airport",PAKN,America/Anchorage
-152.5,57.75,21.9456,"Kodiak, Kodiak Airport",PADQ,America/Anchorage
-77.00137,36.98274,32.9184,Wakefield Municipal Airport,KAKQ,America/New_York
-90.23333,35.13333,64.9224,"West Memphis, West Memphis Municipal Airport",KAWM,America/Chicago
-161.83778,60.77972,38.1,"Bethel, Bethel Airport",PABE,America/Anchorage
-82.34611,34.84611,319.1256,"Greenville, Greenville Downtown Airport",KGMU,America/New_York
-159.34111,21.98389,45.1104,"Lihue, Lihue Airport",PHLI,Pacific/Honolulu
